date,Open price,High price,Low price,Close price
10/13/2020,1922.87,1925.38,1887.63,1892.15
10/14/2020,1891.49,1912.76,1883.11,1900.57
10/15/2020,1900.8,1908.47,1890.16,1907.68
10/19/2020,1900.34,1917.68,1897.2,1903.44
10/20/2020,1903.43,1914.17,1895.03,1909.87
10/21/2020,1908.18,1931.45,1905.97,1923.91
10/22/2020,1924.64,1926.06,1894.99,1904.76
10/24/2020,1903.01,1903.01,1901.29,1901.56
10/26/2020,1903.31,1908.47,1891.66,1902.12
10/27/2020,1901.14,1911.06,1898.07,1907.42
10/28/2020,1906.86,1910.87,1870.67,1876.35
10/29/2020,1876.74,1885.04,1860.22,1869.57
10/31/2020,1878.84,1879.38,1877.35,1879.01
11/2/2020,1877.9,1895.15,1873.74,1894.26
11/4/2020,1907.12,1916.32,1883.28,1898.09
11/5/2020,1898.77,1952.47,1898.77,1950.01
11/7/2020,1953.77,1953.8,1950.89,1951.21
11/9/2020,1955.5,1965.45,1851.74,1868.95
11/10/2020,1867.93,1889.95,1861.11,1875.76
11/11/2020,1876.12,1884.44,1856.62,1863.41
11/14/2020,1886.74,1889.85,1886.68,1889.49
11/16/2020,1888.97,1898.92,1865.91,1886.36
11/17/2020,1886.51,1893.47,1884.35,1885.9
11/18/2020,1884.13,1884.45,1865.12,1872.11
11/19/2020,1870.36,1874.06,1852.97,1864.08
11/21/2020,1872.58,1873.69,1870.03,1871.07
11/23/2020,1870.38,1876.03,1831.33,1840.08
11/24/2020,1839.18,1839.18,1801.24,1805.4
11/25/2020,1807.05,1817.6,1801.82,1808.03
11/26/2020,1806.51,1818.28,1805.05,1809.1
11/30/2020,1787.03,1789.82,1764.87,1778.85
12/1/2020,1777.19,1817.29,1775.51,1814.91
12/2/2020,1814.69,1832.33,1807.6,1829.14
12/3/2020,1828.19,1843.76,1823.85,1838.95
12/5/2020,1837.12,1839.27,1835.69,1837.32
12/7/2020,1838.84,1868.57,1824.69,1861.47
12/8/2020,1862.69,1875.26,1860.49,1869.33
12/9/2020,1870.55,1871.47,1827.42,1833.35
12/10/2020,1834.83,1849.91,1828.86,1836.21
12/12/2020,1839.09,1840.22,1837.92,1839.6
12/14/2020,1839.25,1839.41,1821.82,1827
12/15/2020,1827.68,1855.18,1825.76,1852.62
12/16/2020,1853.29,1865.54,1845.86,1864.01
12/19/2020,1879.15,1881.77,1878.71,1881.49
12/21/2020,1905.04,1906.55,1874.36,1876.91
12/22/2020,1876.32,1882.91,1860.7,1862.53
12/24/2020,1860.3,1877.59,1859.12,1870.28
12/28/2020,1884.03,1899.57,1871.38,1873.17
